                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2559,                 2.3451,                 1.5972,                0.31356,                0.24414,                0.17172,                0.06756,                 1.9322,                 2.9642,                  2.277,             0.00066585,             0.00066585,             0.00066585
                      2,                 1.4734,                 2.2792,                 1.7938,                0.30923,                0.22983,                0.18347,                0.07973,                 2.0211,                 2.8958,                 2.3561,              0.0012885,              0.0012885,              0.0012885
                      3,                 1.5028,                 2.2603,                 1.8365,                0.29977,                0.25233,                0.17293,                0.07148,                 1.9655,                 2.8628,                 2.2804,              0.0018672,              0.0018672,              0.0018672
                      4,                 1.4661,                 2.2225,                 1.7962,                0.31237,                0.23578,                0.18132,                 0.0821,                 1.9349,                 2.7178,                 2.2429,               0.001802,               0.001802,               0.001802
                      5,                 1.4285,                 2.1734,                 1.7671,                0.36997,                0.27039,                0.23187,                0.10458,                 1.9431,                 2.5891,                  2.189,               0.001802,               0.001802,               0.001802
                      6,                  1.377,                 2.1257,                 1.7333,                0.37781,                0.27519,                0.25232,                0.10719,                 1.9265,                 2.5708,                 2.1584,               0.001736,               0.001736,               0.001736
                      7,                 1.3357,                 2.0531,                 1.6936,                0.38091,                0.30398,                0.27231,                0.13433,                 1.7333,                 2.3974,                 2.0168,                0.00167,                0.00167,                0.00167
                      8,                 1.3075,                 2.0091,                 1.6704,                0.38248,                0.30257,                0.27567,                0.14625,                 1.6649,                 2.3883,                 1.9637,               0.001604,               0.001604,               0.001604
                      9,                 1.2812,                 1.9807,                 1.6446,                 0.3872,                0.31781,                0.28638,                0.16031,                 1.6106,                 2.2759,                 1.9008,               0.001538,               0.001538,               0.001538
                     10,                 1.2476,                 1.9435,                 1.6366,                 0.3678,                0.33305,                 0.2819,                0.14861,                  1.641,                 2.3167,                 1.8949,               0.001472,               0.001472,               0.001472
                     11,                 1.2484,                 1.9247,                  1.619,                0.42031,                0.32063,                0.30399,                0.16254,                 1.6222,                 2.2871,                 1.9169,               0.001406,               0.001406,               0.001406
                     12,                 1.2146,                  1.896,                 1.5954,                 0.3842,                0.32797,                0.29699,                0.15878,                 1.6195,                 2.2192,                 1.9013,                0.00134,                0.00134,                0.00134
                     13,                 1.1908,                 1.8744,                 1.5879,                0.39386,                0.33488,                0.30732,                0.17196,                 1.6049,                 2.2454,                 1.8548,               0.001274,               0.001274,               0.001274
                     14,                 1.1776,                   1.83,                 1.5746,                0.38326,                0.35359,                0.29866,                0.17265,                 1.5275,                 2.1711,                 1.8072,               0.001208,               0.001208,               0.001208
                     15,                 1.1757,                 1.8322,                 1.5728,                0.39146,                0.36076,                0.32042,                0.18786,                 1.5134,                 2.1278,                 1.7805,               0.001142,               0.001142,               0.001142
                     16,                 1.1532,                 1.8082,                 1.5517,                0.40049,                0.35535,                0.32082,                0.18983,                 1.4842,                 2.1151,                  1.766,               0.001076,               0.001076,               0.001076
                     17,                 1.1343,                 1.7907,                 1.5387,                0.40842,                0.35094,                0.31649,                0.18585,                 1.4999,                 2.1451,                 1.7743,                0.00101,                0.00101,                0.00101
                     18,                 1.1166,                 1.7842,                  1.539,                0.41759,                0.36269,                0.34247,                0.20944,                 1.4529,                 2.0714,                 1.7363,               0.000944,               0.000944,               0.000944
                     19,                   1.11,                 1.7636,                 1.5242,                 0.3994,                0.36545,                0.33167,                0.20067,                   1.47,                 2.0759,                 1.7186,               0.000878,               0.000878,               0.000878
                     20,                 1.0921,                 1.7295,                 1.5106,                0.41692,                0.35986,                0.34088,                0.20416,                 1.4603,                 2.0775,                 1.7259,               0.000812,               0.000812,               0.000812
                     21,                 1.2271,                 1.8611,                 1.6799,                0.42816,                0.34519,                0.34612,                0.21211,                 1.4245,                 2.0531,                 1.6995,               0.000746,               0.000746,               0.000746
                     22,                 1.1957,                 1.7877,                 1.6408,                0.40855,                 0.3641,                0.34644,                 0.2203,                 1.3756,                 1.9991,                 1.6473,                0.00068,                0.00068,                0.00068
                     23,                 1.1694,                 1.7591,                 1.6182,                0.41381,                0.36302,                0.34606,                   0.22,                 1.3847,                 1.9902,                 1.6687,               0.000614,               0.000614,               0.000614
                     24,                 1.1559,                   1.73,                 1.6099,                0.44345,                0.36494,                0.35926,                 0.2271,                 1.3611,                 1.9699,                 1.6506,               0.000548,               0.000548,               0.000548
                     25,                 1.1349,                 1.7164,                 1.5949,                 0.4215,                 0.3816,                0.36083,                0.23248,                 1.3393,                  1.948,                 1.6195,               0.000482,               0.000482,               0.000482
                     26,                 1.1223,                 1.6818,                 1.5855,                0.43572,                0.38301,                0.36998,                0.24111,                 1.3287,                 1.9143,                 1.6016,               0.000416,               0.000416,               0.000416
                     27,                 1.1036,                 1.6493,                 1.5646,                 0.4295,                0.38163,                0.36716,                0.24118,                 1.3248,                 1.9237,                 1.6065,                0.00035,                0.00035,                0.00035
                     28,                 1.0878,                 1.6363,                 1.5564,                0.44059,                0.36861,                0.36546,                0.24289,                 1.3049,                 1.9096,                 1.5866,               0.000284,               0.000284,               0.000284
                     29,                 1.0647,                 1.5966,                 1.5302,                0.44018,                0.38414,                0.37814,                0.25227,                 1.2913,                 1.8815,                 1.5698,               0.000218,               0.000218,               0.000218
                     30,                 1.0531,                  1.591,                 1.5271,                0.45806,                0.37482,                0.37961,                0.25299,                 1.2884,                 1.8765,                 1.5704,               0.000152,               0.000152,               0.000152
